#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners,Playtime (Median),Developer(s),Publisher(s)
1,Half-Life 2,"Nov 16, 2004",9.99,N/A (N/A/96%),"10,000,000 .. 20,000,000",01:50 (01:06),Valve,Valve
3,Counter-Strike: Source,"Nov 1, 2004",9.99,N/A (N/A/88%),"10,000,000 .. 20,000,000",03:56 (02:08),Valve,Valve
21,Counter-Strike: Condition Zero,"Mar 1, 2004",9.99,N/A (N/A/65%),"10,000,000 .. 20,000,000",00:10 (00:03),Valve,Valve
47,Half-Life 2: Deathmatch,"Nov 1, 2004",4.99,N/A (N/A),"5,000,000 .. 10,000,000",00:00 (00:00),Valve,Valve
36,Half-Life: Source,"Jun 1, 2004",9.99,N/A (N/A),"2,000,000 .. 5,000,000",00:00 (00:00),Valve,Valve
52,CS2D,"Dec 24, 2004",Free,N/A (N/A),"1,000,000 .. 2,000,000",00:16 (00:10),Unreal Software,Unreal Software
2,Unreal Tournament 2004: Editor's Choice Edition,"Mar 16, 2004",14.99,N/A (N/A/93%),"500,000 .. 1,000,000",00:00 (00:00),"Epic Games, Inc.","Epic Games, Inc."
4,DOOM 3,"Aug 3, 2004",4.99,N/A (N/A/87%),"500,000 .. 1,000,000",00:00 (00:00),id Software,id Software
14,Beyond Divinity,"Apr 27, 2004",5.99,N/A (N/A/73%),"500,000 .. 1,000,000",00:00 (00:00),Larian Studios,Larian Studios
40,Hitman: Contracts,"Apr 20, 2004",8.99,N/A (N/A),"500,000 .. 1,000,000",00:00 (00:00),Io-Interactive A/S,Io-Interactive A/S
9,Gish,"May 4, 2004",9.99,N/A (N/A/80%),"200,000 .. 500,000",00:00 (00:00),Cryptic Sea,Chronic Logic
17,Neighbours from Hell Compilation,"Feb 20, 2004",9.99,N/A (N/A/69%),"200,000 .. 500,000",00:00 (00:00),JoWooD Vienna,THQ Nordic
43,"STAR WARS Battlefront (Classic, 2004)","Sep 21, 2004",9.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),Pandemic Studios,"Lucasfilm, LucasArts, Disney"
49,Jagged Alliance 2 - Wildfire,"Mar 8, 2004",6.99,N/A (N/A),"200,000 .. 500,000",06:11 (04:30),I-deal Games,Topware Interactive
53,Painkiller: Black Edition,"Apr 12, 2004",9.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),People Can Fly,THQ Nordic
5,Silent Storm Gold Edition,"Sep 9, 2004",9.99,N/A (N/A/83%),"100,000 .. 200,000",00:00 (00:00),Nival,THQ Nordic
12,Soldiers: Heroes of World War II,"Jun 29, 2004",4.99,N/A (N/A/77%),"100,000 .. 200,000",00:00 (00:00),Best Way,1C Entertainment
18,Sherlock Holmes: The Silver Earring,"Sep 30, 2004",9.99,N/A (N/A/68%),"100,000 .. 200,000",00:00 (00:00),Frogwares,Frogwares
26,World War II: Panzer Claws,"Jan 14, 2004",4.99,N/A (N/A/61%),"100,000 .. 200,000",04:10 (03:01),NA,Topware Interactive
31,Marine Sharpshooter II: Jungle Warfare,"Jun 22, 2004",2.99,N/A (N/A/52%),"100,000 .. 200,000",00:00 (00:00),Jarhead Games,Funbox Media Ltd
34,SuperPower 2 Steam Edition,"Oct 11, 2004",9.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),GolemLabs,THQ Nordic
20,Dark Fall 2: Lights Out,"Aug 24, 2004",4.99,N/A (N/A/66%),"50,000 .. 100,000",00:00 (00:00),Darkling Room,THQ Nordic
24,Aura: Fate of the Ages,"Jun 24, 2004",4.99,N/A (N/A/63%),"50,000 .. 100,000",00:00 (00:00),Streko Graphics,THQ Nordic
39,Guilty Gear X2 #Reload,"Jul 23, 2004",9.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),Arc System Works,Arc System Works
42,Platypus,"Jun 2, 2004",6.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),Idigicon,KISS ltd
50,planetarian ~the reverie of a little planet~,"Nov 29, 2004",9.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),VisualArts/Key,Sekai Project
7,"Codename: Panzers, Phase One","Jun 16, 2004",14.99,N/A (N/A/81%),"20,000 .. 50,000",00:00 (00:00),"Stormregion, THQ Nordic",THQ Nordic
8,Kohan II: Kings of War,"Sep 21, 2004",9.99,N/A (N/A/81%),"20,000 .. 50,000",00:00 (00:00),TimeGate Studios,TimeGate Studios
10,Ground Control II: Operation Exodus,"Jun 18, 2004",4.99,N/A (N/A/80%),"20,000 .. 50,000",00:00 (00:00),Massive Entertainment,Rebellion
11,Perimeter,"May 21, 2004",3.99,N/A (N/A/77%),"20,000 .. 50,000",00:00 (00:00),K-D Lab,1C Entertainment
15,Warlords Battlecry III,"May 17, 2004",9.99,N/A (N/A/73%),"20,000 .. 50,000",00:00 (00:00),Infinite Interactive,"Retroism, Enlight Software Limited"
16,Men of Valor,"Nov 29, 2004",9.99,N/A (N/A/71%),"20,000 .. 50,000",00:00 (00:00),2015,THQ Nordic
25,Shadow Ops: Red Mercury,"Sep 17, 2004",6.99,N/A (N/A/61%),"20,000 .. 50,000",00:00 (00:00),Zombie Studios,Retroism
27,Wars and Warriors: Joan of Arc,"Feb 7, 2004",6.99,N/A (N/A/60%),"20,000 .. 50,000",00:00 (00:00),Enlight Software Limited,"Retroism, Enlight Software Limited"
32,Konung 2,"Nov 30, 2004",2.99,N/A (N/A/35%),"20,000 .. 50,000",00:00 (00:00),1C Entertainment,1C Entertainment
35,The Egyptian Prophecy: The Fate of Ramses,"Mar 29, 2004",4.99,N/A (N/A),"20,000 .. 50,000",00:00 (00:00),MC2,Microids
37,Chris Sawyer's Locomotion,"Sep 10, 2004",5.99,N/A (N/A),"20,000 .. 50,000",00:00 (00:00),Chris Sawyer,Atari
44,Transport Giant,"Jun 8, 2004",9.99,N/A (N/A),"20,000 .. 50,000",00:00 (00:00),"Fancy Bytes, Reactor",Toplitz Productions
45,URU: Complete Chronicles,"Jul 7, 2004",9.99,N/A (N/A),"20,000 .. 50,000",00:00 (00:00),Cyan Worlds,Cyan Worlds
48,Mashed,"Jun 25, 2004",4.99,N/A (N/A),"20,000 .. 50,000",00:00 (00:00),Supersonic Software,Strategy First
51,Kult: Heretic Kingdoms,"Nov 11, 2004",4.99,N/A (N/A),"20,000 .. 50,000",00:00 (00:00),Games Farm,Games Farm
6,Myst IV: Revelation,"Sep 10, 2004",14.99,N/A (N/A/82%),"0 .. 20,000",00:00 (00:00),Ubisoft Montreal,"Cyan Worlds, Ubisoft"
13,Nemesis of the Roman Empire,"Mar 17, 2004",9.99,N/A (N/A/74%),"0 .. 20,000",00:00 (00:00),Haemimont Games,"Retroism, Enlight Software Limited"
19,Nancy Drew: The Secret of Shadow Ranch,"Jun 1, 2004",9.99,N/A (N/A/68%),"0 .. 20,000",00:00 (00:00),HeR Interactive,HeR Interactive
22,Lords of the Realm III,"Mar 17, 2004",4.99,N/A (N/A/65%),"0 .. 20,000",00:00 (00:00),Impressions Games,Rebellion
23,Echelon: Wind Warriors,"Feb 3, 2004",3.99,N/A (N/A/63%),"0 .. 20,000",00:00 (00:00),MADia Entertainment,Buka Entertainment
28,Zoo Empire,"Aug 1, 2004",6.99,N/A (N/A/59%),"0 .. 20,000",00:00 (00:00),Enlight Software Limited,"Retroism, Enlight Software Limited"
29,Marine Park Empire,"Aug 1, 2004",6.99,N/A (N/A/58%),"0 .. 20,000",00:00 (00:00),Enlight Software Limited,"Retroism, Enlight Software Limited"
30,Fair Strike,"Feb 5, 2004",3.99,N/A (N/A/56%),"0 .. 20,000",00:00 (00:00),G5 Software,Buka Entertainment
33,KóterGame,"Jan 11, 2004",Free,N/A (N/A),"0 .. 20,000",00:00 (00:00),Dzsembori,Dzsembori
38,I Misteri di Maggia,"Sep 27, 2004",Free,N/A (N/A),"0 .. 20,000",00:00 (00:00),Stelex Software,Stelex Software
41,Casino Poker,"Apr 2, 2004",2.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),ThatGame Pty Ltd,Funbox Media Ltd
46,The Dark Legions,"Apr 1, 2004",1.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Mascot Entertainment,Mascot Entertainment
31,Half-Life 2: Lost Coast,"Oct 27, 2005",Free,N/A (N/A),"10,000,000 .. 20,000,000",00:00 (00:00),Valve,Valve
2,Grand Theft Auto: San Andreas,"Jun 6, 2005",14.99,N/A (N/A/93%),"2,000,000 .. 5,000,000",06:13 (03:56),Rockstar Games,Rockstar Games
7,STAR WARS Knights of the Old Republic II - The Sith Lords,"Feb 8, 2005",9.99,N/A (N/A/85%),"2,000,000 .. 5,000,000",00:37 (00:12),"Obsidian Entertainment, Aspyr (Mac, Linux, & Windows Update)","LucasArts, Disney Interactive, Lucasfilm, Aspyr (Mac, Linux)"
1,Sid Meier's Civilization IV,"Oct 25, 2005",19.99,N/A (N/A/94%),"1,000,000 .. 2,000,000",00:00 (00:00),Firaxis Games,2K
17,Serious Sam 2,"Oct 11, 2005",9.99,N/A (N/A/74%),"1,000,000 .. 2,000,000",00:00 (00:00),Croteam,Devolver Digital
4,Sid Meier's Pirates!,"Jul 11, 2005",9.99,N/A (N/A/88%),"500,000 .. 1,000,000",00:00 (00:00),Firaxis Games,2K
9,Darwinia,"Jul 14, 2005",9.99,N/A (N/A/84%),"500,000 .. 1,000,000",00:00 (00:00),Introversion Software,Introversion Software
12,Dungeon Siege II,"Aug 16, 2005",6.99,N/A (N/A/80%),"500,000 .. 1,000,000",00:00 (00:00),Gas Powered Games,Square Enix
43,scram,"Sep 13, 2005",Free,N/A (N/A),"500,000 .. 1,000,000",00:00 (00:00),spleen,Colossus Interactive
53,Street Racing Syndicate,"Jan 8, 2005",2.99,N/A (N/A),"500,000 .. 1,000,000",00:00 (00:00),Eutechnyx,Funbox Media Ltd
3,Tom Clancy's Splinter Cell Chaos Theory,"Mar 29, 2005",9.99,N/A (N/A/92%),"200,000 .. 500,000",00:00 (00:00),Ubisoft Montreal,Ubisoft
6,Prince of Persia: The Two Thrones,"Dec 7, 2005",9.99,N/A (N/A/85%),"200,000 .. 500,000",00:00 (00:00),Ubisoft Montreal,Ubisoft
10,FATE,"May 18, 2005",7.99,N/A (N/A/80%),"200,000 .. 500,000",00:00 (00:00),WildTangent,WildTangent
19,The Bard's Tale,"Jun 17, 2005",9.99,N/A (N/A/70%),"200,000 .. 500,000",00:00 (00:00),inXile Entertainment,inXile Entertainment
