App,Translated_Review,Sentiment,Sentiment_Polarity,Sentiment_Subjectivity
"Fabulous: Motivate Me! Meditate, Relax, Sleep",I used year ago hated it. I changed since I find super helpful. Only thing chews battery fast insane. Phone went 100 9 4 hours I using time studying. I would also love widget I could see what's ... Full Review,Negative,-0.073809524,0.730952381
"Fabulous: Motivate Me! Meditate, Relax, Sleep","I used set alarm phone remind drink water I would hit ignore dismiss. This makes feel like I someone coaching it... I almost feel guilty I think ignoring reminder. It's actually making build habit, I drink I get r... Full Review",Negative,-0.05,0.55
"Calm - Meditate, Sleep, Relax","Amazing! I trouble starting practice own, I look forward it.",Positive,0.2875,0.55
"Calm - Meditate, Sleep, Relax",In short time helped focus mindfulness. I appreciate calming sounds also happy choice narration voice. Helpful reminders set keep track. So far I'm pleased!,Positive,0.38125,0.825
"Calm - Meditate, Sleep, Relax",In short time helped focus mindfulness. I appreciate calming sounds also happy choice narration voice. Helpful reminders set keep track. So far I'm pleased!,Positive,0.38125,0.825
Headspace: Meditation & Mindfulness,"This well marketed gives good first impression, I disappointed subscribing spending 60€ it. Seems contains variety different theme meditations (""packs""), following least 10-20 days I cannot tell difference them... If looking guided meditations you. I found much better free charge meditation wisdom endless resources great community, I regret paying one.",Positive,0.1475,0.558333333
Daily Yoga - Yoga Fitness Plans,Very greedy company. I recently buy silver pro plan time want move next purchase level. This soo un-satisfying. It seems cheating me. I think turned basic /free/ silver gold me. Not happy buying:-(,Negative,-0.158333333,0.445833333
Headspace: Meditation & Mindfulness,When I try create account I mistakenly clicked back button. Now cannot even login.not effective,Positive,0.3,0.4
"Calm - Meditate, Sleep, Relax",This really good. I never big fan meditation I insist day. It's worth trying 7 free days make mind.,Positive,0.35,0.4
"Calm - Meditate, Sleep, Relax",This really good. I never big fan meditation I insist day. It's worth trying 7 free days make mind.,Positive,0.35,0.4
"Calm - Meditate, Sleep, Relax","Said free. Immediately says ""7 day free trial, $59.99 monthly subscription"". Ridiculous",Positive,0.155555556,0.866666667
"Calm - Meditate, Sleep, Relax","Said free. Immediately says ""7 day free trial, $59.99 monthly subscription"". Ridiculous",Positive,0.155555556,0.866666667
"Calm - Meditate, Sleep, Relax","Calm helps put sleep chase away ""monkey thoughts"". Thanks much app..keep good work!",Positive,0.305,0.35
"Calm - Meditate, Sleep, Relax","Calm helps put sleep chase away ""monkey thoughts"". Thanks much app..keep good work!",Positive,0.305,0.35
Daily Yoga - Yoga Fitness Plans,I've never practised youga number free sessions beginners. They motivate return offer coins: used purchase otjer sessions features. I started free version delighted improvement flexibility weight loss I purchased sunscription went ad free.,Positive,0.475,0.775
"Fabulous: Motivate Me! Meditate, Relax, Sleep","At first I questioning method, days realized felt good accomplished little things day. So far made realize things continue path take slow simple! I wish price full wasn... Full Review",Positive,0.1625,0.532275132
"Fabulous: Motivate Me! Meditate, Relax, Sleep","At first I questioning method, days realized felt good accomplished little things day. So far made realize things continue path take slow simple! I wish price full wasn... Full Review",Positive,0.1625,0.532275132
"Calm - Meditate, Sleep, Relax","With recent update, removed ability play sound background indefinitely. This upsetting I sleep night. I hope time future bring back feature. As I might find replacement.",Positive,0.1,0.19375
Daily Yoga - Yoga Fitness Plans,"I daily. It allowed develop daily fitness routine flexibility strength training, without increased chance injury. It still missing flexibility allow develop routines workout history. Having researched apps, I found nothing better. I since upgraded life member, I moving another app.",Positive,0.075,0.1375
"Calm - Meditate, Sleep, Relax",I thought I reviewing preview subscription Calm. I charged 59.99. I want refund!!! Very upset this.,Positive,0.39296875,0.525
"Calm - Meditate, Sleep, Relax",I thought I reviewing preview subscription Calm. I charged 59.99. I want refund!!! Very upset this.,Positive,0.39296875,0.525
"Calm - Meditate, Sleep, Relax","I love app. It taught much meditation brought much positivity life. My complaint guided meditation programs available free version. Many locks picture makes obvious premium content, almost everything else appears free realize first day whatever program is. That's little deceiving me. But I continue enjoy free unguided content I afford subscribe.",Positive,0.243269231,0.487179487
"Fabulous: Motivate Me! Meditate, Relax, Sleep","I drinking water I wake eating good nutritional breakfast far. I think great helps motivate good habits break old bad habits. However I think price bit high join year, especially people limited income due ... Full Review",Positive,0.183051948,0.584047619
"Fabulous: Motivate Me! Meditate, Relax, Sleep","I drinking water I wake eating good nutritional breakfast far. I think great helps motivate good habits break old bad habits. However I think price bit high join year, especially people limited income due ... Full Review",Positive,0.183051948,0.584047619
"Calm - Meditate, Sleep, Relax","Without paying subscription limited listening music meditation tracks. I tried free trial seven days, I think really worth paying quantity yearly/monthly. With subscription getting sleep stories rest locked mediation tracks. Both I see worth subscription. Maybe one-time payment even paying packs would better option. Too expensive is.",Positive,0.154761905,0.39047619
"Calm - Meditate, Sleep, Relax",Waste time can't anything unless u pay £35/$ year =-(,Negative,-0.2,0
"Calm - Meditate, Sleep, Relax",Waste time can't anything unless u pay £35/$ year =-(,Negative,-0.2,0
"Calm - Meditate, Sleep, Relax",I struggled stress..anxiety..and I couldn't sleep night..Came across life changing,Neutral,0,0
"Calm - Meditate, Sleep, Relax",I struggled stress..anxiety..and I couldn't sleep night..Came across life changing,Neutral,0,0
"Fabulous: Motivate Me! Meditate, Relax, Sleep","I used pay premium, crashing months, I stopped subscription. Please fix bugs makes crash.",Neutral,0,0
Headspace: Meditation & Mindfulness,I advice everyone. All take 10 mins day,Neutral,0,0
Headspace: Meditation & Mindfulness,I advice everyone. All take 10 mins day,Neutral,0,0
"Calm - Meditate, Sleep, Relax",Way expensive something get free local library.,Negative,-0.033333333,0.5
"Calm - Meditate, Sleep, Relax",Way expensive something get free local library.,Negative,-0.033333333,0.5
"Calm - Meditate, Sleep, Relax","Unfortunately, even let log in. I've uninstalled, restarted phone, tried Facebook log two emails. It keeps repeating 'There error' Oh well onto next",Negative,-0.25,0.5
"Fabulous: Motivate Me! Meditate, Relax, Sleep","This helped create healthy habits helping quit smoking. Giving structured routine every day, morning, afternoon evening takes times I would wanted cigarette. I find I energy feel better I accomplish day. If using go open mind consistent. It easy say yes I activity, cheat yourself. It gets easier create routines stick them. You feel great time using",Positive,0.413888889,0.555555556
"Fabulous: Motivate Me! Meditate, Relax, Sleep",I'm day 3 first 7 free days. So far I like it. It's spendy.. I may give try update this.,Positive,0.25,0.711111111
"Fabulous: Motivate Me! Meditate, Relax, Sleep",I'm day 3 first 7 free days. So far I like it. It's spendy.. I may give try update this.,Positive,0.25,0.711111111
"Fabulous: Motivate Me! Meditate, Relax, Sleep","This saving life, I ADHD Fabulous like little friend reminding gently things I wanted get done. My mind positively rewired start repeat daily habits,yhis us I struggle. I feel hope fir future app. Amazing !",Positive,0.198538961,0.552922078
Daily Yoga - Yoga Fitness Plans,"The comprehensive complete program I've seen app. And affordable price. Loving it, simple, clean, fresh. Don't put longer. I LOVE NEW fresh interface. It keeps getting better better.",Positive,0.33030303,0.546168831
"Calm - Meditate, Sleep, Relax","Great app, I anxiety depression issues even first week helped greatly. I would definitely recommend it.",Positive,0.4625,0.583333333
"Calm - Meditate, Sleep, Relax","Great app, I anxiety depression issues even first week helped greatly. I would definitely recommend it.",Positive,0.4625,0.583333333
"Fabulous: Motivate Me! Meditate, Relax, Sleep",It's okay thing I like kinda hippy and.......... How I say this....... Less Christian like. (Not ride way The fabulous.),Positive,0.183333333,0.391666667
"Fabulous: Motivate Me! Meditate, Relax, Sleep",It's okay thing I like kinda hippy and.......... How I say this....... Less Christian like. (Not ride way The fabulous.),Positive,0.183333333,0.391666667
"Calm - Meditate, Sleep, Relax",worked fine I paid $60 subscription fee locked completely wont let log account cant meditations. Will seeking remediation!,Positive,0.270833333,0.45
"Fabulous: Motivate Me! Meditate, Relax, Sleep","I love app! It helps improve accomplish tasks. If need assistance, I recommend strongly. But I reading reviews I need come Timur using FREE. But awesome far.",Positive,0.511666667,0.826666667
"Calm - Meditate, Sleep, Relax","Having never practiced mindfulness, great way start! So calming guidance really helps keep moment. Less stress, better sleep... I recommend!",Positive,0.414583333,0.379166667
"Calm - Meditate, Sleep, Relax","This wonder tool anything thats going person. Short relaxing, makes u feel brand new sessions.",Positive,0.068181818,0.377272727
"Calm - Meditate, Sleep, Relax","This wonder tool anything thats going person. Short relaxing, makes u feel brand new sessions.",Positive,0.068181818,0.377272727
Daily Yoga - Yoga Fitness Plans,"This perfect beginner starting. I've couple classes, wanted learn own. So far good!",Positive,0.515,0.74
Daily Yoga - Yoga Fitness Plans,"This perfect beginner starting. I've couple classes, wanted learn own. So far good!",Positive,0.515,0.74
"Fabulous: Motivate Me! Meditate, Relax, Sleep","When comes healthy habits, well habits, I'm worse person world. I go stages I excited something I time, intense, 200%. And week later I forget it. This helped sort ithis issue out. What's best came effortlessly, takes minutes day, little motivation reminders build healthy habits life. Thanks!",Positive,0.248611111,0.483333333
"Fabulous: Motivate Me! Meditate, Relax, Sleep","When comes healthy habits, well habits, I'm worse person world. I go stages I excited something I time, intense, 200%. And week later I forget it. This helped sort ithis issue out. What's best came effortlessly, takes minutes day, little motivation reminders build healthy habits life. Thanks!",Positive,0.248611111,0.483333333
"Fabulous: Motivate Me! Meditate, Relax, Sleep",I really love app. It's working change bad habits good ones. I've using 6 days I feel better already. I'm looking forward positive changes come.,Positive,0.245454545,0.582424242
"Fabulous: Motivate Me! Meditate, Relax, Sleep",I really love app. It's working change bad habits good ones. I've using 6 days I feel better already. I'm looking forward positive changes come.,Positive,0.245454545,0.582424242
"Fabulous: Motivate Me! Meditate, Relax, Sleep","I appreciate small 3 day goals, getting started. I love encouragement start small grow, letters science behind steps. Would like set H2O amount goals designated times throughout day. Maybe slow pushing whole program first week.",Negative,-0.035714286,0.461904762
"Calm - Meditate, Sleep, Relax","I never thought I would pay annual subscription app, worth every penny! The guided meditations helped develop regular meditation practice, I longer fall asleep without sleep stories! I love much I ever would imagined. And great content free version well. Definitely worth download!!!",Positive,0.408705357,0.375274725
"Fabulous: Motivate Me! Meditate, Relax, Sleep","Great helping balance different aspects life, keeps track, helps develop new healthy habits, especially helps manage ADHD, noticing improvement. However, interface add edit habit difficult I 2 habits ... Full Review",Positive,0.183766234,0.693506494
"Fabulous: Motivate Me! Meditate, Relax, Sleep","I really like content. The slow build time makes feel like I accomplish bigger goals. Overall, would 100% recommend!",Negative,-0.025,0.275
"Fabulous: Motivate Me! Meditate, Relax, Sleep","I really like content. The slow build time makes feel like I accomplish bigger goals. Overall, would 100% recommend!",Negative,-0.025,0.275
"Calm - Meditate, Sleep, Relax","I absolutely love app! I every night go sleep, day I'm stressed.",Positive,0.625,0.6
"Calm - Meditate, Sleep, Relax","I absolutely love app! I every night go sleep, day I'm stressed.",Positive,0.625,0.6
"Calm - Meditate, Sleep, Relax",I love app! Trying save money costs unlock premium. Can't wait I do.,Positive,0.625,0.6
"Calm - Meditate, Sleep, Relax",I love app! Trying save money costs unlock premium. Can't wait I do.,Positive,0.625,0.6
"Calm - Meditate, Sleep, Relax",Love it! Has helped anxiety drastically,Positive,0.625,0.6
"Calm - Meditate, Sleep, Relax","Being pretty expensive, I reservations app, month I've concluded money well spent man. I'm complete beginner this, great guide. Try free version, works well you, definitely pay full - regret",Positive,0.1625,0.6
Daily Yoga - Yoga Fitness Plans,"I went yoga class I really liked it. But work schedules unpredictable, that's difficult go class every then. So that's really good option me. It really relaxing! Love",Positive,0.230555556,0.7
"Calm - Meditate, Sleep, Relax",Love it. Just wish change log updated every time. Also tablet support crazy. One screen landscape next portrait finally landscape playing. It's annoying.,Negative,-0.18,0.68
"Calm - Meditate, Sleep, Relax",Love it. Just wish change log updated every time. Also tablet support crazy. One screen landscape next portrait finally landscape playing. It's annoying.,Negative,-0.18,0.68
"Fabulous: Motivate Me! Meditate, Relax, Sleep",I absolutely enjoy much. I always dehydrated I kind felt need drink water throughout day! It also gives recipes tips free unlike money nice makes feel like someone actually beside help become better person.,Positive,0.407142857,0.571428571
"Calm - Meditate, Sleep, Relax",I joy much,Positive,0.5,0.2
"Fabulous: Motivate Me! Meditate, Relax, Sleep","It actually helpful, apart basic contents, everything behind pay wall, 15 dollars month way much habits I hour day. Still 4/5 looks nice works well.",Positive,0.08,0.425
"Fabulous: Motivate Me! Meditate, Relax, Sleep",It's quite life changing say least. I've using month it's... Fabulous. The thing I find annoying bit difficult navigate quite compelling start new journies without finishing ones hand. Maybe journey sectio... Full Review,Negative,-0.059090909,0.700649351
Headspace: Meditation & Mindfulness,This garbage. Marketed free makes pay anything,Positive,0.4,0.8
"Calm - Meditate, Sleep, Relax","I love bedtime stories, they're perfect falling asleep to.",Positive,0.75,0.8
"Calm - Meditate, Sleep, Relax",Now THIS truly wonderful app!,Positive,1,1
"Calm - Meditate, Sleep, Relax","I appreciate help slowing learn quiet mind. On daily meditation, I often can't understand saying, swallows words. It seem happen frequently even items app. But still helpful.",Positive,0.033333333,0.211111111
"Calm - Meditate, Sleep, Relax",Great anyone really wanting give meditation try. I've tried years without success. I'm 34th day row!,Positive,0.458333333,0.316666667
"Calm - Meditate, Sleep, Relax",Great anyone really wanting give meditation try. I've tried years without success. I'm 34th day row!,Positive,0.458333333,0.316666667
Daily Yoga - Yoga Fitness Plans,"Really enjoying app, find elements frustrating. Instead 'signing up' particular programme, I'd like see poses first. I programmes, complete (as challenging right equipment), activity seems lose track I've actually achieved. Think less issue I get grips poses. Really great way learn home though!",Positive,0.223571429,0.501904762
Daily Yoga - Yoga Fitness Plans,"Love App, easy fantastic transitional levels Yoga wide range selection. I've year can't imagine without it!",Positive,0.302083333,0.683333333
"Fabulous: Motivate Me! Meditate, Relax, Sleep","Buy, buy, buy... Not able properly see content first journey. Have annoyance help possibly right time it. Beyond consumes much Ram - 100MB even",Positive,0.097142857,0.358809524
"Calm - Meditate, Sleep, Relax","Recommended health shop. New meditation I wasn't sure expect. I've found keeps calm, centered generally less irritable. Has brilliant deeper bit printable downloads challenges.",Positive,0.333939394,0.632020202
"Calm - Meditate, Sleep, Relax","Recommended health shop. New meditation I wasn't sure expect. I've found keeps calm, centered generally less irritable. Has brilliant deeper bit printable downloads challenges.",Positive,0.333939394,0.632020202
"Calm - Meditate, Sleep, Relax","Calm best meditation app! I insomnia issues weeks ago, recommended naturopath. I huge advocate meditation taking time myself. Sleeping stories great, guided meditation too. I moment I bells meditation scene background sound. Thank you, Calm! ❤",Positive,0.545833333,0.641666667
Daily Yoga - Yoga Fitness Plans,I really love layout app! I never exercise simple programs great voice coach makes want stick it! The reason four stars like many people intrusive ads pop even I'm using app! I hope gets fixed,Positive,0.47,0.481428571
"Calm - Meditate, Sleep, Relax",Best get sleep. I light sleeper settle I less 10 minutes. Sometimes right away. Only free version far. Hopefully going get fuller version,Positive,0.288435374,0.628911565
"Calm - Meditate, Sleep, Relax",Best get sleep. I light sleeper settle I less 10 minutes. Sometimes right away. Only free version far. Hopefully going get fuller version,Positive,0.288435374,0.628911565
Headspace: Meditation & Mindfulness,It helped hard times helped lot train mind.. Undoubtedly best meditating Android!!❤️❤️❤️,Positive,0.354166667,0.420833333
"Fabulous: Motivate Me! Meditate, Relax, Sleep",This brought depression domestic violence. I'm grateful,Neutral,0,0.1
"Fabulous: Motivate Me! Meditate, Relax, Sleep",This brought depression domestic violence. I'm grateful,Neutral,0,0.1
Headspace: Meditation & Mindfulness,"This far helpful meditation guidance I've used. It utilizes methods easy natural. There's gimmicks, weird tricks, thoughts learning ok them.",Positive,0.126666667,0.746666667
"Calm - Meditate, Sleep, Relax",Personally suffer anxiety since started meditating every day Calm subsided quiet bit. Calm fantastic help everyone. I used sleep stories unable sleep great.,Positive,0.185714286,0.611904762
"Fabulous: Motivate Me! Meditate, Relax, Sleep","I used long yet, I like starts small goals like drinking water wake up, adds new goals completed progress. Of course, add own, I advise waiting established routine already. It'... Full Review",Positive,0.157272727,0.560909091
"Calm - Meditate, Sleep, Relax",Absolutely lobe perfect people like either issues stressing much sleep problems many things definitely worth I'm glad I came across ❤,Positive,0.45,0.616666667
"Calm - Meditate, Sleep, Relax","I tried various meditation apps, never managing get regular meditation routine. The CALM changed me. I love huge selection guided meditations vary length. I loving making time meditate every day now!",Positive,0.325,0.629487179
"Calm - Meditate, Sleep, Relax","I tried various meditation apps, never managing get regular meditation routine. The CALM changed me. I love huge selection guided meditations vary length. I loving making time meditate every day now!",Positive,0.325,0.629487179
Daily Yoga - Yoga Fitness Plans,I using last 3 days continue use. This amazing guided yoga session. Yoga sessions properly categorised easily choose session per need. Highly recommended especially time go gym workout.,Positive,0.198888889,0.573333333
"Fabulous: Motivate Me! Meditate, Relax, Sleep",It's awesome! This exactly I needed. Bad thing switch phones either pay start all over again.,Positive,0.183333333,0.638888889
"Fabulous: Motivate Me! Meditate, Relax, Sleep",It's awesome! This exactly I needed. Bad thing switch phones either pay start all over again.,Positive,0.183333333,0.638888889
"Calm - Meditate, Sleep, Relax",I like something new every day. And I choose meditation suited needs day.,Positive,0.136363636,0.454545455
"Calm - Meditate, Sleep, Relax",I like something new every day. And I choose meditation suited needs day.,Positive,0.136363636,0.454545455
"Calm - Meditate, Sleep, Relax","I using Calm months now, 100% worth annual subscription. I find Tamara's voice soothing! I beginner meditating I started using app, changed life. I incorporated daily routine really helped feel present, greatly reduced anxiety depression! Can't say enough it. Give shot, beginners meditation, let frustrate you, master right away. Keep it!",Positive,0.279017857,0.354464286
Headspace: Meditation & Mindfulness,"The cool. Learn meditate step time. However., gives trial, rest pay $13 month. I can't see worth it.",Positive,0.325,0.375
"Calm - Meditate, Sleep, Relax",Love app. I wish could set timer background sounds. The sleep meditation effective I often fall asleep sounds playing night causing phone overheat.,Positive,0.55,0.7
"Calm - Meditate, Sleep, Relax",Love app. I wish could set timer background sounds. The sleep meditation effective I often fall asleep sounds playing night causing phone overheat.,Positive,0.55,0.7
"Fabulous: Motivate Me! Meditate, Relax, Sleep","The Fabulous great way prioritise goals work towards healthy habits morning, evening night. This good planner schedule happy lifestyle, enables stop think ""how I live healthier lifestyle?"" ""What I going today?"". I stron... Full Review",Positive,0.526623377,0.7
"Fabulous: Motivate Me! Meditate, Relax, Sleep","Good take somewhat seriously. Completing habits I find benfical anyway. Someone downloads checks again, really going get much app. It's people want better continual basis. It works that's I like, gives helpful tips understating certain habit. It's great mindset wanting improve. But mindset set way. Then probably",Positive,0.32585034,0.49829932
"Fabulous: Motivate Me! Meditate, Relax, Sleep",It's good waiting get refund free trial. They charged card 10 days free trial. Which thought cancelled. I've emailed cant find number reach directly. So far reply. Still waiting. Hoping get money back. Update: They no... Full Review,Positive,0.325,0.625
Daily Yoga - Yoga Fitness Plans,"Even pay there's constant ads time ads! It's annoying. Even pay premium, get much then, another pay level get thought last level. A far I tell never ending pay levels. Then interface much worse used be.makeingnhard know exactly getting. This probably greediest company I've seen Google Play.",Negative,-0.092857143,0.478571429
"Calm - Meditate, Sleep, Relax",I tried meditation before. This easy I find guided meditation helpful. The narrator gently keeps track. My husband noticed difference perspective reaction environment.,Positive,0.316666667,0.816666667
"Calm - Meditate, Sleep, Relax",I tried meditation before. This easy I find guided meditation helpful. The narrator gently keeps track. My husband noticed difference perspective reaction environment.,Positive,0.316666667,0.816666667
"Calm - Meditate, Sleep, Relax","It's pricey really helpful. I get yearly subscription I'd say 101% worth anxiety learning coping techniques handle panic attacks. If expect people everything free, like make spend time studio, free version really nice access version.",Positive,0.38,0.58
"Calm - Meditate, Sleep, Relax","It's pricey really helpful. I get yearly subscription I'd say 101% worth anxiety learning coping techniques handle panic attacks. If expect people everything free, like make spend time studio, free version really nice access version.",Positive,0.38,0.58
